dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
20.899748,297.907771,24.413812,8.505247,7.280278,116.365477,11.973236,7.844315,10.231788,3.350296,.792930,.491877
21.246756,296.359013,25.347895,8.658154,8.034859,113.690974,12.070122,7.904539,11.216183,3.281942,.633955,.391785
18.955813,282.403761,24.345844,8.188534,7.258153,113.656196,8.959060,6.553177,10.805721,3.461434,.626203,.389551
19.105458,288.518624,26.751027,8.462187,7.543229,117.145928,12.328099,7.677539,10.747850,3.507494,.822031,.508789
19.896862,302.395691,25.100126,8.427721,7.439037,113.906576,8.937409,7.213317,10.579841,3.503321,.913082,.405530
