dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
121.516090,10.331720,244.459987,3.382231,12.618727,9.192451,137.852005,1.248949,5.572147,8.904929,3.351295,.447884,.316012
147.810497,12.445240,251.336697,1.962598,12.346631,9.198110,142.230737,1.245538,5.760722,10.171641,2.945815,.597054,.428736
114.396164,10.817286,250.139538,1.930081,9.775043,9.845563,158.752607,1.241168,6.470473,9.659465,3.160735,.484339,.327866
122.877223,10.595395,254.971672,3.452782,11.605798,8.914591,156.153996,2.013582,7.272418,9.202088,3.010644,.800310,.373161
138.365094,10.325218,236.794008,2.859225,9.394773,8.494352,140.405042,1.146787,5.873827,9.737866,2.885918,.477386,.338396
