dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
115.243601,.806945,4.906867,15.843562,2.408816,.674414,2.744729,9.224263,1.228007,.617004,.388134,.606769,.481539
123.298567,.844407,5.480569,15.765151,1.166531,.664894,2.919750,9.273493,1.119399,.650921,.387602,.544129,.486193
122.208655,.798482,4.622942,17.694075,2.337160,.708782,3.073719,9.292640,1.212796,.638846,.405009,.576835,.460317
136.156548,.926370,4.714664,18.370866,2.481333,.735221,2.927069,15.639759,1.232964,.624949,.417489,.731497,.482502
146.262511,.815414,4.750898,15.771223,1.158057,.674508,2.733007,9.261366,1.157886,.613994,.394797,.576226,.483023
