dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
24.306535,271.221517,54.364413,25.422744,20.366934,169.280523,29.507544,17.745368,19.343333,2.719010,1.275069,.527133
23.812405,285.421168,54.599117,27.759929,19.375644,166.602427,29.433549,17.241205,17.835328,2.615242,2.247059,.473508
24.799992,302.134429,50.972753,25.648464,20.995589,159.075324,29.461115,18.145436,17.420064,2.683402,1.347924,.491865
23.860901,277.465229,51.326300,24.562318,20.461597,157.909333,29.464837,17.331912,15.920337,2.621415,1.327288,.501824
24.085579,280.303162,54.559473,25.146780,19.438340,158.789118,29.469587,17.698540,17.314327,2.718515,2.239731,.515624
