dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
152.207240,11.167296,247.813490,2.303521,4.288343,4.721073,94.161461,.588655,3.834760,6.595015,3.317841,.465041,.309918
128.505001,10.482317,276.733376,1.315955,5.553938,4.541853,101.051417,.902389,3.886840,5.981373,3.116418,.415934,.329715
156.423802,11.150004,249.567757,1.356267,3.949232,4.381001,104.312930,.612659,4.322441,6.107369,3.234158,.424259,.343899
123.161614,11.055780,254.012119,2.290274,4.125693,4.404613,103.891504,.955088,4.107649,5.933395,3.041593,.420720,.301252
118.642690,10.303104,263.570879,2.343146,4.080282,4.398252,93.734814,.965405,3.764282,5.850162,3.120314,.448898,.370504
