dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
4.211950,267.857426,1.490141,3.504664,3.823046,163.219044,.760006,2.384779,3.772847,3.790990,.454361,.323651
3.988063,267.412282,1.345045,3.507884,3.438384,169.497929,.798549,2.471083,3.857784,4.047889,.474610,.344506
4.187291,288.065520,1.556992,4.381041,3.441545,158.003414,.756691,2.293112,3.221085,3.414249,.482934,.315604
3.912065,288.126751,.924047,3.607343,3.622131,160.301572,.568763,2.319707,3.881606,3.750226,.509439,.332320
4.087441,285.262366,1.498802,4.074424,3.511036,164.726025,.754590,2.502172,3.770450,3.577504,.468394,.312525
