dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
4.561408,290.349994,8.763013,4.377162,3.799086,174.320087,6.037929,2.978512,4.030460,3.452050,.620804,.392319
4.134721,293.330094,8.853078,4.418660,3.650682,157.557511,5.208921,3.476999,3.765463,3.772357,2.637455,.348143
4.073043,274.206787,8.772402,4.278259,3.591217,158.500187,6.827651,2.953239,4.088302,3.667221,.512155,.290239
4.367504,278.813815,11.548953,5.530158,3.659222,159.660135,6.782073,2.632855,4.169110,3.683223,1.008662,.293781
4.902130,278.441627,12.112556,4.079354,3.834561,179.886156,8.496782,2.925138,3.726365,3.486477,.514456,.343214
