dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
119.037704,16.829560,276.001020,31.973453,8.410981,7.447343,94.662463,9.291744,5.642452,8.827997,3.061796,.696731,.350249
153.528884,16.760848,247.356813,24.992192,7.156250,7.608408,101.191652,8.941558,7.955079,8.772946,2.742003,.805178,.335253
117.731753,17.986012,267.397366,24.789805,8.033645,6.407813,104.677530,8.941706,6.466561,8.696859,3.006725,1.958311,.347217
120.178999,17.149733,265.904596,25.508791,8.590229,6.825381,103.772484,11.344347,6.816354,8.801680,3.047658,.823652,.357859
121.388173,16.127409,247.924244,27.862609,7.448116,6.324530,95.074729,8.923366,5.934893,9.657141,3.325604,2.086607,.362032
