dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
110.531930,.672386,4.287631,9.214141,.820881,.638154,2.797455,7.535698,.729046,.648060,.437615,.724683,.548699
138.125358,.661905,4.448474,9.187141,.916971,.624972,2.833392,7.223091,.728492,.500335,.380390,.809263,.437514
146.839873,.678775,5.340859,9.192582,.803973,.563811,2.809883,9.404008,.753386,.553853,.419084,.548108,.475410
125.793574,.642408,4.439570,12.719360,.901456,.618024,2.845044,7.527979,.732823,.584304,.383829,.750594,.475439
134.441289,.739807,4.662121,9.127633,.928129,.641398,2.853502,9.234574,.726918,.544507,.582301,.749344,.474455
