dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
129.250197,1.117555,4.482055,16.394659,4.043613,.898943,2.964938,17.077889,2.510011,.729688,.413507,1.071511,.477176
123.108739,1.199787,5.061046,16.320608,3.723436,.929257,3.066055,9.536612,2.222029,.738477,.396918,.752017,.495400
121.620409,1.384459,4.537509,16.401083,3.689919,.905001,2.686494,18.649528,2.149275,.792985,.400689,.764470,.481582
125.084424,1.090183,4.976994,16.428726,2.637260,.924790,2.725297,10.004499,2.551051,.762884,.410810,1.478635,.496941
157.066259,1.156908,4.819153,16.330033,3.702765,.917196,2.827771,14.560117,1.916717,.747084,.414337,.733584,.513477
