dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
121.469309,5.558898,253.660135,1.740317,2.124920,2.469803,96.487801,.403504,1.895369,2.672923,2.605444,.355536,.312934
121.380775,5.597205,257.389832,3.376210,2.228998,3.160913,96.904486,.402411,1.912890,2.745996,2.955021,.340446,.253542
144.936048,5.379722,257.268794,1.342439,2.162930,2.363607,106.653602,.484415,2.081624,3.116797,3.343187,.397721,.301545
129.447120,5.396481,248.767913,3.629115,2.290344,2.280364,102.991028,.411991,1.980097,2.923605,3.090859,.334738,.305386
137.306442,5.674110,274.650011,2.166437,2.645756,2.191171,106.021715,.798459,2.083020,2.700828,3.041010,.380808,.260114
