dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
12.904111,301.997660,18.850099,6.259674,5.075271,108.485860,10.124813,4.986128,7.219523,3.703331,3.882793,.381162
13.850519,284.094524,16.375559,5.491327,5.672525,116.045499,6.489806,5.125992,7.361834,3.468043,.553216,.358289
14.788679,305.315832,16.500838,5.935489,5.134263,114.939501,6.052609,4.618071,7.164854,3.713786,.516668,.355605
14.816548,289.793758,19.303511,5.735811,5.092941,117.490171,6.409194,5.270687,7.471844,3.740498,.559553,.381142
14.126526,288.401347,16.736033,5.840797,5.025740,106.966032,6.131372,4.578837,7.188433,3.992876,.735468,.348889
