dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
115.305461,16.495910,251.666515,3.415258,6.287070,6.480842,108.856286,.897647,5.970090,8.977943,3.039838,.460170,.357377
130.437109,17.076342,260.434133,3.482765,7.248802,6.239139,103.394967,1.375195,6.013049,8.883929,3.106934,.482842,.353301
132.164893,17.127398,270.586297,4.404418,6.939673,8.160996,103.850581,.851101,5.760950,9.509447,3.046068,.538447,.362082
140.826428,16.271865,264.146954,3.169264,6.981977,8.658089,97.232012,1.303145,5.590208,9.146971,2.989179,1.425894,.326976
113.993213,16.971177,270.628309,3.454818,8.172502,7.328735,97.870008,1.455325,5.521882,9.634431,3.064356,.542821,.342992
