dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
125.309191,.848525,4.758316,19.999086,1.176144,.700791,3.241227,10.619064,.861660,.602522,.396454,1.082543,.504025
121.929682,.819850,4.415660,17.845234,1.056867,.688962,3.090404,10.574444,1.007683,.592791,.364756,1.407534,.461186
123.134256,.765795,4.582633,18.613035,1.225569,.733945,2.839212,14.500638,.881982,.622917,.393487,.964635,.477347
128.014428,.817776,4.378606,20.256111,1.033784,.776115,2.883918,14.889130,.857908,.623031,.419184,.725925,.468660
127.028812,.745657,4.450832,19.846940,1.157351,.689235,2.982843,14.399666,.885075,.581368,.392323,1.151363,.514589
