dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
141.587437,3.671786,253.725016,8.783406,4.530020,5.346413,149.710626,8.666660,2.306468,3.151596,3.085179,.611794,.266823
129.301278,3.767698,242.477886,8.702007,3.478988,3.401805,141.754172,7.474609,2.235707,3.202898,3.171613,.498519,.286789
137.545003,4.329779,243.695367,10.560049,3.391369,3.294958,139.598332,6.731640,2.032786,3.247106,3.046958,.494909,.273784
120.088087,3.561215,233.703207,14.519939,3.323124,3.228673,139.183662,5.179717,2.128482,3.134821,3.379408,1.691977,.302031
111.072532,4.017689,249.185173,10.929825,4.109170,2.964641,149.746576,5.165604,2.528927,3.158435,3.216675,4.458469,.307431
