dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
122.403357,19.895150,250.710527,5.558385,22.382409,18.095460,158.006433,3.705859,13.972002,17.552276,2.728307,3.704563,.517078
134.990926,20.796499,262.393567,4.222355,23.128547,16.287741,145.977606,3.622274,15.258201,16.981212,2.661131,.744482,.426577
120.456463,20.887761,251.353210,6.043250,21.956065,19.602964,152.510108,8.295233,14.824436,17.538651,2.702551,.937031,.405414
148.318774,19.871194,241.691015,3.929812,18.944602,22.669959,145.536396,2.764002,17.794978,16.340154,2.566602,.806444,.438852
131.910798,20.244825,238.852922,5.021514,19.598553,18.188952,160.207525,2.011032,18.815651,17.400206,2.740087,.560364,.420382
