dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
148.709884,1.004815,4.667401,25.552408,1.143957,.692107,1.963182,9.539488,1.217356,.645430,.398137,.664609,.454972
121.351565,1.028492,4.823335,25.543611,1.014322,.679460,1.926008,9.536536,1.111772,.684740,.372869,.663958,.478866
126.336535,1.022282,5.049569,25.557822,1.243779,.669727,1.971469,9.592183,1.047140,.711196,.406687,.633067,.487057
121.396958,1.000084,4.759104,25.623926,1.151235,.642368,2.116811,9.580861,1.177468,.632483,.398367,.664378,.454990
115.587955,.945038,5.902345,25.573667,1.254195,.642842,1.969422,9.525011,1.131240,.589627,.399598,.740225,.493383
