dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
126.791154,.823251,4.796172,5.734473,1.198623,.656025,3.336190,6.441107,.866804,.555765,.372749,12.245959,.572190
127.536991,.947119,4.870705,5.724386,1.180118,.664212,2.921939,3.489586,.860188,.558851,.386641,.509906,.474052
142.278699,.796170,5.718179,5.754633,1.194355,.637752,2.905569,6.466772,.891726,.557928,.381270,.526667,.481971
111.149328,.758452,4.681446,5.701228,1.214468,.664983,2.702120,3.429950,.937819,.574377,.402560,.537921,.485478
152.114705,.793183,4.762981,6.068581,1.103897,.681752,2.817810,3.481430,.926351,.597530,.382122,4.231793,.506680
