dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
129.578806,1.215971,4.879701,55.063705,3.727194,1.008150,2.968561,30.927205,2.232937,.825579,.437909,1.413959,.504050
129.688299,1.430546,5.203094,52.651756,3.846561,1.007484,2.798897,32.901487,1.333380,.762734,.419425,2.504150,.525504
115.192495,1.093735,4.968696,55.811932,2.876221,.982403,3.113317,32.363477,2.148487,.840565,.434127,3.533745,.579046
128.610895,1.086298,5.020136,53.948325,3.653578,.944721,2.737867,33.466727,2.659003,.848284,.418353,2.457350,.503138
119.816689,1.103739,4.547475,52.677538,3.483107,.947021,2.822669,33.886178,2.499824,.800602,.390272,2.493240,.481096
