dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
19.173369,287.833166,3.726906,7.562799,7.238965,117.164779,.949459,7.692837,11.385237,3.429929,.500874,.391423
18.177376,282.892582,3.471613,6.646486,8.049889,114.392105,.900485,7.193856,10.623700,3.463616,2.443587,.394916
19.024029,276.665770,3.335147,6.780928,7.532469,110.266956,.893522,6.759111,10.582794,3.665776,.511482,.362684
18.547169,296.773007,3.508311,7.662846,7.369796,119.834553,1.943976,7.614748,10.537947,3.603492,.442190,.380191
18.685877,301.787942,3.476572,6.778294,7.081040,122.450373,1.451856,7.604912,11.560915,3.668436,.525965,.417273
