dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
13.180571,287.285323,28.398887,13.188126,16.261232,167.990183,26.116987,8.691020,10.693184,3.481991,1.269412,.431849
13.745791,276.911123,25.437964,14.618277,10.488877,157.993107,14.863213,7.836343,10.745539,3.484438,1.346444,.413607
13.117863,280.627555,26.997303,12.404059,10.818527,156.832346,14.877215,7.168711,9.826755,3.670980,1.164994,.410436
12.304690,269.733244,26.960276,12.559963,9.920656,174.150283,14.927136,8.102954,10.629664,3.440356,1.226361,.383646
12.441025,280.766229,28.780840,13.288962,11.462162,156.019583,14.878413,7.463626,10.222088,3.478726,1.194234,.367209
