dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
144.894237,.927579,5.342119,7.077470,1.224520,.606930,2.197651,2.474437,.898948,.704400,.476245,.526322,.539810
120.767360,.778930,5.236715,5.989797,.906280,.595601,2.067429,4.407894,.929797,.551319,.362611,.476841,.496956
158.065301,.869036,5.455648,7.437491,.983543,.652038,1.993268,2.479384,.861943,.589713,.382300,.614269,.483318
124.152216,.957419,4.829880,7.060170,.939172,.647521,2.021044,2.474554,.914594,.568598,.381334,.586619,.466402
121.429222,.867071,4.721097,5.998357,1.048522,.584572,1.961078,2.427903,.919432,.542702,.385944,.508808,.462402
