dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
12.687408,276.414034,1.979964,11.756740,10.660900,166.135175,1.818580,7.109444,11.462073,3.794214,.553918,.450033
12.607257,271.265279,3.501955,9.724490,10.075145,160.414093,2.041441,6.794052,10.864164,3.525858,.664084,.378863
12.484694,278.931444,3.497654,11.146699,10.091057,168.015537,1.240905,7.567759,10.643611,3.361070,.555517,.387113
13.112723,269.890349,3.568093,10.301028,10.396934,156.249937,1.234502,6.699529,11.375993,3.661462,.680579,.399028
11.937415,275.213727,3.370066,11.492625,9.897460,156.107391,1.166529,6.654829,11.426150,3.670499,.533825,.424936
