dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
12.319048,277.126729,2.373322,4.740349,5.219508,116.201603,.982557,4.451612,7.238927,3.751870,.595902,.381932
13.680044,304.776625,1.461837,5.856796,5.040929,112.912251,.973872,4.428133,7.998774,3.927952,.562139,.413710
13.765241,305.664779,2.509200,5.540270,5.064618,112.628948,.740615,4.429943,7.747042,3.670963,.488253,.388303
13.030439,299.680412,1.429380,5.720085,6.329118,107.968525,3.685423,4.499047,7.228139,3.923399,.515336,.379382
12.792619,304.317897,1.451475,5.594210,5.132283,115.010296,.876900,4.994232,7.673644,3.657248,.667089,.368270
