dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
149.340850,13.772539,255.688064,4.390981,14.743698,12.355263,138.966921,2.641379,7.912619,11.585389,2.950780,.485317,.357968
115.010721,13.878592,254.368266,4.417727,13.701216,16.198815,138.232444,1.486744,7.654660,12.880087,2.854505,.696720,.393293
116.378640,13.223807,247.543381,4.350864,13.467719,11.856137,147.387250,2.656090,12.140302,11.426210,2.828881,.523317,.368105
135.237330,13.755381,264.441830,3.170283,14.067689,15.701319,157.433668,1.554162,9.481228,11.381894,2.925997,.500318,.382104
134.239858,13.633450,250.482788,2.449335,15.914488,12.369056,148.220586,2.562765,8.367002,12.200486,3.065466,.529504,.411824
