dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
124.648901,.842745,5.279203,17.255048,.994061,.698776,1.945281,6.508346,.947526,.554979,.420356,.575044,.472528
124.762336,.855532,4.910028,17.209192,.884143,.619869,2.238125,6.565008,.862064,.601984,.434442,3.867273,.518929
142.224441,.885909,4.942947,17.223672,1.021388,.624378,1.990489,6.490419,.881250,.594488,.390769,.617003,.454004
128.889117,.833120,4.957009,17.241217,.819815,.588898,2.321858,6.580639,.977277,.592079,.376127,.559637,.503332
162.286731,.983505,5.835181,17.316413,.981027,.693184,2.052975,7.835040,.980139,.603822,.412226,.634597,.455362
