dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
133.806960,10.966310,235.619719,26.955976,11.470633,9.709224,150.202749,14.868306,7.714883,9.072462,3.362630,1.155881,.378624
133.216680,11.045803,248.925928,26.652403,14.313766,10.687522,147.625982,14.903445,7.088699,9.284256,2.948282,1.221187,.362905
113.784790,10.500070,248.266298,28.815203,14.407784,9.670943,143.571222,15.533200,6.696705,9.285832,3.173569,1.177888,.392672
122.122139,11.032946,250.164587,26.938611,12.043927,9.977655,157.402537,14.847610,7.904283,8.888663,2.979664,1.237726,.373563
134.044942,10.890777,258.211102,26.457000,13.592850,9.483521,152.758446,14.937246,7.532875,9.019270,3.052693,1.224727,.344873
