dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
126.067347,.638014,5.639433,3.093217,.789458,.568169,3.130754,3.199933,.687431,.501887,.390854,.458736,.469085
140.655152,.643417,4.782071,5.646161,.959718,.588053,2.847105,3.308596,.685508,.502296,.391496,.489942,.501896
120.269045,.648624,4.496367,3.056095,.863402,.547256,2.818472,3.397677,.684229,.524393,.374379,.519993,.492732
133.234426,.717569,4.845452,3.076472,.820892,.536701,2.670855,1.985620,.681026,.490474,.364593,.471742,.488773
142.695479,.628248,4.414120,3.976843,.855775,.538260,2.992418,3.320913,.650723,.472959,.347981,.458570,.455790
