dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
116.498389,5.627161,265.638215,10.458893,2.477984,2.222104,99.060672,3.162224,2.148558,3.151991,3.062503,.411451,.288265
123.036142,5.618146,252.965160,9.551565,2.483321,2.318632,99.226057,3.090667,2.102526,3.335320,3.269876,.413311,.306277
122.547916,5.594705,253.785343,12.533519,2.456599,2.416657,102.516558,4.697773,2.117092,3.147524,3.086135,.413909,.258831
121.143073,5.975936,270.112741,12.272027,2.792290,2.314024,104.420923,3.136467,2.155035,3.149234,3.063155,.405553,.281746
132.061302,5.767924,273.209823,8.337513,2.831636,2.232868,104.601892,3.192811,2.090578,3.106350,3.058905,.415015,.258787
