dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
140.118610,1.000471,4.460815,16.468567,1.015539,.657462,2.286045,6.300511,1.132865,.601612,.353137,.557379,.447209
125.863680,.901614,4.645845,16.427170,1.142947,.605704,1.913892,6.307873,1.162615,.581012,.384476,.641285,.455777
151.226835,.953975,4.829818,16.458073,1.094485,.645213,1.912176,6.296506,1.036888,.603038,.382487,.559977,.452671
126.812229,.924483,5.223232,16.395892,1.055910,.630737,1.786600,6.318070,1.192865,.637769,.406648,.661674,.465363
121.919618,.918468,4.873098,16.492930,1.160988,.638008,1.959176,6.328034,1.038248,.720598,.465419,.682852,.519594
