dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
120.926414,.932684,4.730631,37.100680,1.961751,.798222,2.636529,20.750005,1.057344,.657650,.394478,1.842424,.484794
136.785977,.934091,4.784312,36.911599,2.506761,.818139,2.879670,23.099232,1.125007,.643333,.396679,1.908945,.496727
136.365992,1.104391,5.057092,37.503760,1.896817,.848683,2.770159,21.956348,1.057964,.704525,.424679,1.090339,.471577
124.283882,.930136,4.748777,35.759536,1.415901,.802059,2.959173,23.599159,2.262295,.739863,.410100,1.086700,.468850
150.698206,.995685,4.728394,37.509132,2.407414,.865786,2.894191,23.581709,1.033576,.633170,.388041,1.845195,.484148
