dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
15.606332,292.916366,4.324377,17.131918,13.048692,154.031651,1.496985,9.333470,14.436439,3.758047,.572400,.486263
16.243297,284.556576,4.006792,15.885580,12.704503,164.772936,1.530349,8.615485,14.594371,3.079108,1.335314,.440394
16.558928,294.549354,2.533149,18.712343,14.328383,167.141362,2.623164,9.147283,14.655373,2.916260,.700576,.508214
16.304684,274.414891,4.430798,15.214598,13.686799,169.024475,2.668282,10.555114,13.408248,2.853398,.594790,.404464
16.474738,285.842438,4.333362,15.288829,12.841881,175.636467,1.649658,10.685884,14.147681,3.036206,.603309,.413057
