dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
126.869942,7.389865,236.882767,20.701534,7.060739,6.563835,144.981305,9.959423,4.404123,5.950059,3.314987,.837350,.324653
124.541197,7.800110,243.968846,19.048142,7.669723,6.049634,139.095451,9.963757,5.351064,6.123016,3.024290,.837775,.331806
123.486660,7.484381,255.033434,19.004768,7.724614,6.198812,154.499540,10.005659,5.279354,6.061410,3.063248,.672571,.331407
123.869933,8.031874,248.720842,17.971820,7.854244,6.433167,138.823387,9.920247,4.261171,6.535385,3.027386,.663516,.331133
125.102391,7.612999,224.802690,19.703346,6.788829,5.959651,151.981905,11.835517,4.970985,6.519369,3.044085,.873403,.322769
