dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
122.158831,3.707470,249.367781,1.421012,3.326121,3.847738,142.464249,.505002,2.080813,2.684201,3.071259,.416973,.289812
125.365749,3.799714,237.706075,.766583,3.034006,3.474210,137.340811,.689835,1.983123,2.632126,2.575607,.373528,.327131
156.625302,3.607545,241.981787,1.328839,3.226530,3.087013,140.184110,.696980,2.040742,3.177896,3.102937,.317219,.271663
115.657541,3.557382,251.625358,1.345868,3.371108,3.026536,139.186088,.752062,2.149124,3.127955,3.038770,.380707,.322024
121.394330,3.820329,251.469176,2.644736,3.453404,3.747082,147.039666,.682407,2.072706,3.409841,3.125314,.349876,.297824
