dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
23.662877,272.014916,5.712499,21.298901,20.847380,157.239214,2.519257,13.990558,19.235820,2.783257,.962240,.531793
23.899973,270.055594,6.069680,22.537188,19.576873,154.991904,3.592366,14.703644,19.155042,3.056218,.634307,.494323
23.678179,289.793959,6.222682,24.423332,20.809940,172.716439,2.181268,15.121464,18.912430,3.024432,1.147270,.501376
23.241279,296.553138,4.266272,23.284384,20.069147,162.527058,2.078864,14.495766,19.982529,2.737517,.850709,.476867
23.853594,277.198050,3.232355,21.354099,20.533036,167.155881,2.047273,16.273400,18.932533,2.733488,.776156,.479812
