dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
123.826365,1.014196,4.500747,20.837128,2.190562,.762556,2.818067,14.452996,1.111588,.643587,.407290,.605026,.480470
138.186951,1.034446,5.435473,23.259626,2.209455,.773458,2.957527,12.771325,1.106238,.636281,.397965,.845480,.485931
123.947611,.934378,4.749635,20.877694,2.534247,.814950,2.803598,12.183097,1.118148,.611163,.411616,.744921,.479482
126.045718,.957368,4.855237,20.862137,1.327734,.740793,3.037980,12.289330,2.437168,.651822,.396478,13.408456,.642929
119.056426,.897346,4.941723,24.721856,2.379419,.844487,2.770802,13.375563,1.069764,.622701,.380328,.851755,.485432
