dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
130.765432,14.221448,256.244013,34.665750,16.649747,12.191235,138.737178,19.685578,8.701881,10.463691,2.476782,1.515349,.370077
148.363980,13.444249,237.427811,33.807690,17.779796,11.860552,138.363568,19.743978,8.659658,11.942721,2.857163,2.202809,.378542
134.049257,14.977025,252.564090,33.765596,16.061708,12.772193,153.077445,21.199680,12.580086,11.500814,2.667615,1.535594,.410950
125.276290,14.601660,240.171581,35.722281,16.429873,12.383081,150.857949,19.787112,13.451434,12.893885,3.072819,1.483932,.401074
129.370595,14.072706,240.898671,33.736909,15.673114,11.350472,142.910651,22.941084,10.271631,10.587345,2.748597,3.071577,.365932
