dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
16.870617,272.253074,33.762805,18.646943,14.066866,156.017809,22.678903,10.251011,12.670697,2.734551,1.554982,.397749
17.329106,287.267993,41.166999,17.292313,16.068701,165.396380,21.144846,13.561088,12.579689,3.654333,1.524184,.451459
16.786259,292.694553,36.749777,16.406534,14.165155,157.109655,22.899710,13.193148,11.561219,2.890253,1.467457,.444959
18.679382,290.250123,36.482553,16.320444,19.902608,169.004739,22.745740,13.328446,13.480286,2.741323,1.545542,.445401
16.839510,286.958605,36.849484,19.155930,13.795054,167.412318,23.876474,11.096276,13.693849,3.070564,1.574905,.447979
