dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
6.308851,285.303329,2.900537,2.709738,2.502871,113.056011,.479678,2.282301,3.523594,3.686102,.398571,.320977
6.236039,291.643492,1.265219,2.360050,2.653213,109.059190,.526559,2.280113,3.817565,3.784820,.476864,.402751
6.201588,289.562085,1.431223,2.829690,3.171708,117.429763,.478086,2.303779,3.753724,3.773048,.458700,.422681
6.716165,295.288791,1.367286,2.760264,2.722176,115.925661,.542100,2.312730,3.228116,3.833203,2.091279,.309678
7.451149,288.935621,1.101380,2.321232,2.783527,117.182552,.738152,2.336916,3.895901,3.757236,1.342318,.342443
