dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
125.876701,10.918331,271.902615,19.989753,5.662548,5.723783,104.979210,6.037424,4.017334,6.332307,3.061901,.825801,.318425
122.268015,12.724344,254.191746,19.943029,4.970978,5.601568,98.338973,6.030717,3.906736,6.577985,3.335709,.509655,.316936
142.174255,11.328881,256.838987,16.773509,4.557576,4.116002,96.797498,6.059126,4.196816,5.946561,3.179454,1.499608,.290712
138.147767,10.650716,251.330471,21.219425,5.238741,4.096284,103.624657,6.105944,4.343353,5.976735,3.073218,3.109061,.323011
127.581775,11.144564,250.318316,19.090503,5.158657,4.371348,104.624173,6.028407,4.200652,6.029379,3.084575,.465014,.308306
