dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
131.923024,.743880,4.907805,3.150743,.731035,.552435,2.292478,2.378985,.692667,.494048,.391661,.468496,.470063
122.704358,.705324,4.959951,3.204718,.723085,.500754,2.060921,1.480610,.714825,.549240,.387055,.514480,.557912
129.182030,.778148,4.491848,5.923344,.763164,.538522,1.997650,1.425506,.677491,.517547,.392943,.474149,.475517
131.329602,.722824,5.371423,3.161737,.687113,.537615,1.959110,1.425958,.701056,.524543,.393372,.463928,.474946
122.879518,.721949,4.877600,4.445444,.800755,.520313,2.229973,2.401501,.696102,.480486,.384956,.447195,.478485
