dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
128.644877,20.878616,240.823595,53.436402,23.310207,18.388693,141.623013,31.704440,16.528809,16.729251,2.529287,1.292807,.450619
109.383675,21.701029,240.614518,50.353944,22.742365,18.294297,140.819922,29.518231,17.110272,16.416324,2.543850,2.165122,.436737
142.768969,20.439079,243.775242,51.440276,23.322140,18.225593,141.569962,33.117594,16.803789,15.108572,2.750267,2.187648,.411351
127.066827,20.742022,236.003671,55.948898,23.951454,17.945692,152.640514,29.462090,15.779495,15.764533,3.033481,1.919143,.448295
136.358314,21.685268,236.742248,50.369660,23.545564,17.598656,133.869747,30.406991,16.191086,15.595652,2.297304,2.164626,.381050
