dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
149.690018,.862578,4.667708,26.558295,2.413381,.832287,2.677428,17.347549,1.166235,.714719,.381643,1.519359,.481440
125.305209,.754007,4.636317,26.518778,1.091403,.667053,2.495633,15.651852,1.062294,.673612,.387306,8.662729,.589864
125.936028,.908175,4.905558,26.565745,1.065362,.705549,2.673767,17.484350,1.057005,.706521,.395561,1.508311,.453690
123.082029,.830446,4.745139,27.769867,2.346016,.789909,2.776885,20.477503,1.172405,.650725,.387681,1.487691,.479972
130.718117,.879256,4.563547,26.616107,2.239313,.772239,2.803110,16.969186,1.030840,.640847,.390326,.864479,.448501
