dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
8.741318,282.660252,17.119234,8.169211,7.392395,158.701593,9.994184,4.866443,6.922812,3.219288,.844579,.309451
8.704411,276.397219,17.087329,8.232622,7.455051,160.429901,11.328171,5.239418,7.138165,3.375425,1.320591,.440714
8.397560,270.299828,17.960593,8.554073,6.611125,166.179252,10.112850,5.601079,7.180451,3.369184,.822422,.368561
8.697759,273.743062,20.388657,8.487312,7.392719,157.876112,10.055482,4.521924,6.955937,3.559103,1.056018,.365170
8.316900,276.580357,20.723267,8.407498,6.687429,171.353502,13.141263,5.628922,7.625694,3.726952,.833400,.369590
