dpu_alloc (ms),dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
138.822535,6.898064,236.652689,1.281599,5.772392,6.185474,135.694044,.827362,3.768381,6.174012,3.123649,.423615,.316401
140.286884,6.918836,237.639425,2.330905,5.833328,6.547873,150.010551,.923227,4.115320,6.017013,3.104939,.473713,.323188
127.383757,7.047546,251.322238,2.366978,6.746168,6.203862,143.826912,1.437893,3.799649,5.958869,3.049182,.410182,.309877
128.445720,7.257086,238.804538,2.210714,5.834937,6.449999,146.454844,.832304,4.135330,5.924319,3.023220,.754720,.313619
120.181487,6.973409,241.074439,1.804903,6.401474,6.408156,142.574560,1.339227,3.851836,6.537694,3.101427,.407451,.328958
