dpu_push_xfer_1 (ms),dpu_push_xfer_2 (ms),dpu_launch_1 (ms),dpu_push_xfer_3 (ms),dpu_push_xfer_4 (ms),dpu_push_xfer_5 (ms),dpu_launch_2 (ms),dpu_push_xfer_6 (ms),dpu_push_xfer_7 (ms),dpu_push_xfer_8 (ms),dpu_launch_3 (ms),dpu_push_xfer_9 (ms)
6.543508,305.052075,10.766456,3.024193,2.637702,110.002442,7.326175,2.453549,3.861673,3.932808,1.740586,.368170
6.694835,288.302139,13.639421,3.043923,2.494851,112.494518,5.930508,2.375112,3.768222,4.069460,.639429,.320979
6.581150,303.286360,8.475788,3.030661,2.719438,107.279513,5.975441,2.383158,3.762719,3.972211,.445049,.347823
6.606040,293.493853,10.098249,2.886495,2.478266,106.887967,3.131981,2.289062,4.028391,3.741685,.533101,.314359
6.848478,301.713339,16.560237,3.177855,2.569252,120.432304,3.654128,2.610188,3.820705,3.788924,.572238,.340782
